,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
0,F29414,03/09/2019 00:00,18/09/2019,3980.0
1,F29415,03/09/2019 00:00,03/10/2019,1550.0
2,F29416,03/09/2019 00:00,03/10/2019,1550.0
3,F29417,03/09/2019 00:00,03/10/2019,1550.0
4,F29418,03/09/2019 00:00,03/09/2019,2435.44
5,F29419,04/09/2019 00:00,19/09/2019,3979.998
6,F29420,04/09/2019 00:00,04/09/2019,402.59
7,F29421,04/09/2019 00:00,04/09/2019,402.59
8,F29422,02/09/2019 00:00,04/09/2019,1606.74
9,F29423,02/09/2019 00:00,04/09/2019,1144.43
10,F29424,03/09/2019 00:00,04/09/2019,462.31
11,F29425,02/09/2019 00:00,04/09/2019,1144.43
12,F29426,04/09/2019 00:00,04/09/2019,157.758
13,F29427,04/09/2019 00:00,04/09/2019,157.758
14,F29428,04/09/2019 00:00,19/09/2019,1724.137
15,F29429,04/09/2019 00:00,04/09/2019,1415.5172
16,F29430,05/09/2019 00:00,20/09/2019,1989.999
17,F29431,05/09/2019 00:00,05/09/2019,258.66
18,F29432,05/09/2019 00:00,20/09/2019,976.5
19,F29433,05/09/2019 00:00,05/09/2019,280.0
20,F29434,06/09/2019 00:00,21/09/2019,224.637
21,F29435,06/09/2019 00:00,06/10/2019,1196.6
22,F29436,06/09/2019 00:00,21/09/2019,976.5
23,F29437,06/09/2019 00:00,06/09/2019,224.64
24,F29438,06/09/2019 00:00,21/09/2019,1282.327
25,F29439,06/09/2019 00:00,06/09/2019,1964.0
26,F29440,09/09/2019 00:00,09/09/2019,229.66
27,F29441,09/09/2019 00:00,09/09/2019,1602.59
28,F29442,09/09/2019 00:00,09/09/2019,9586.0
29,F29443,09/09/2019 00:00,09/09/2019,105.0
30,F29444,09/09/2019 00:00,09/09/2019,1444.4
31,F29445,09/09/2019 00:00,09/09/2019,258.62
32,F29446,09/09/2019 00:00,24/09/2019,1724.137
33,F29447,10/09/2019 00:00,10/09/2019,852.267
34,F29448,10/09/2019 00:00,10/09/2019,517.241
35,F29449,10/09/2019 00:00,10/09/2019,258.62
36,F29450,10/09/2019 00:00,10/09/2019,2435.44
37,F29451,10/09/2019 00:00,10/09/2019,760.57
38,F29452,10/09/2019 00:00,10/09/2019,919.456
39,F29453,04/09/2019 00:00,10/09/2019,112.1
40,F29454,10/09/2019 00:00,10/09/2019,1432.83
41,F29455,10/09/2019 00:00,10/09/2019,366.491
42,F29456,10/09/2019 00:00,25/09/2019,1059.87
43,F29457,10/09/2019 00:00,25/09/2019,1059.87
44,F29458,10/09/2019 00:00,25/09/2019,1059.87
45,F29459,10/09/2019 00:00,10/09/2019,3691.7
46,F29460,10/09/2019 00:00,10/10/2019,8700.0
47,F29461,10/09/2019 00:00,25/09/2019,360.344
48,F29462,10/09/2019 00:00,10/09/2019,7140.54
49,F29463,10/09/2019 00:00,09/11/2019,1800.0
50,F29464,11/09/2019 00:00,10/11/2019,17850.0
51,F29465,11/09/2019 00:00,11/09/2019,858.35
52,F29466,11/09/2019 00:00,11/09/2019,2623.8
53,F29467,11/09/2019 00:00,11/09/2019,1044.76
54,F29468,11/09/2019 00:00,11/09/2019,516.3
55,F29469,11/09/2019 00:00,11/09/2019,258.66
56,F29470,11/09/2019 00:00,11/09/2019,500.0
57,F29471,11/09/2019 00:00,11/09/2019,280.0
58,F29472,11/09/2019 00:00,11/10/2019,1500.0
59,F29473,11/09/2019 00:00,11/10/2019,24000.0
60,F29474,11/09/2019 00:00,26/09/2019,1059.89
61,F29475,11/09/2019 00:00,11/09/2019,3253.4
62,F29476,11/09/2019 00:00,11/09/2019,357.0
