,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7001,7001,F36417,5271,E,3.0,40:29.2,15/10/2021,06/10/2021 00:00,14/11/2021,,8555.24,0.0,0.0
7002,7002,F36418,5746,E,2.0,51:03.5,15/10/2021,14/10/2021 00:00,15/10/2021,,620.77,0.0,0.0
7003,7003,F36419,2163,E,3.0,56:23.3,15/10/2021,15/10/2021 00:00,15/10/2021,,560.0,0.0,0.0
7004,7004,F36420,1429,E,1.0,01:08.4,15/10/2021,15/10/2021 00:00,14/12/2021,,23625.0,0.0,0.0
7005,7005,F36421,5039,E,1.0,07:07.1,15/10/2021,08/10/2021 00:00,13/01/2022,,3308.78,0.0,0.0
7006,7006,F36422,6872,E,2.0,31:01.6,15/10/2021,15/10/2021 00:00,15/10/2021,,151.388,0.0,0.0
7007,7007,F36423,8478,E,4.0,37:13.2,15/10/2021,15/10/2021 00:00,15/10/2021,,450.5451,0.0,0.0
7008,7008,F36424,6545,E,2.0,12:15.8,15/10/2021,15/10/2021 00:00,15/10/2021,,1224.4,0.0,0.0
7009,7009,F36425,6545,E,2.0,13:54.6,15/10/2021,15/10/2021 00:00,15/10/2021,,1224.4,0.0,0.0
7010,7010,F36426,6545,E,2.0,15:52.0,15/10/2021,15/10/2021 00:00,15/10/2021,,1224.4,0.0,0.0
7011,7011,F36427,6545,E,2.0,17:25.7,15/10/2021,15/10/2021 00:00,15/10/2021,,1224.4,0.0,0.0
7012,7012,F36428,6545,E,2.0,20:07.9,15/10/2021,15/10/2021 00:00,15/10/2021,,489.6,0.0,0.0
7013,7013,F36429,248,E,2.0,35:03.6,15/10/2021,15/10/2021 00:00,15/10/2021,,540.0,0.0,0.0
7014,7014,F36430,6797,E,2.0,29:23.0,15/10/2021,15/10/2021 00:00,15/10/2021,,855.54,0.0,0.0
7015,7015,F36431,8477,E,2.0,05:17.3,15/10/2021,15/10/2021 00:00,15/10/2021,,781.54,0.0,0.0
7016,7016,F36432,3666,E,2.0,19:31.5,15/10/2021,18/10/2021 00:00,15/10/2021,,435.0,0.0,0.0
7017,7017,F36433,2036,E,2.0,57:53.5,15/10/2021,15/10/2021 00:00,15/10/2021,,570.5,0.0,0.0
7018,7018,F36434,4598,E,1.0,00:58.7,15/10/2021,15/10/2021 00:00,14/11/2021,,17703.6,0.0,0.0
7019,7019,F36435,3937,E,1.0,30:36.9,15/10/2021,19/10/2021 00:00,15/10/2021,,36965.56,0.0,0.0
7020,7020,F36436,8426,E,1.0,43:15.3,15/10/2021,29/09/2021 00:00,14/11/2021,,5931.0,0.0,0.0
7021,7021,F36437,114,E,1.0,44:42.7,15/10/2021,15/10/2021 00:00,29/11/2021,,2800.5,0.0,0.0
7022,7022,F36438,5926,E,2.0,53:46.0,15/10/2021,12/10/2021 00:00,15/10/2021,,813.93,0.0,0.0
7023,7023,F36439,6892,E,2.0,08:25.9,18/10/2021,18/10/2021 00:00,18/10/2021,,208.0,0.0,0.0
7024,7024,F36440,1761,E,2.0,03:02.2,18/10/2021,18/10/2021 00:00,18/10/2021,,428.71,0.0,0.0
7025,7025,F36441,5372,E,2.0,36:55.0,18/10/2021,13/10/2021 00:00,18/10/2021,,6617.0,0.0,0.0
7026,7026,F36442,3108,E,2.0,12:16.9,18/10/2021,18/10/2021 00:00,18/10/2021,,4358.9,0.0,0.0
7027,7027,F36443,5926,E,2.0,44:46.1,18/10/2021,18/10/2021 00:00,18/10/2021,,493.56,0.0,0.0
7028,7028,F36444,6211,E,2.0,41:12.3,19/10/2021,19/10/2021 00:00,19/10/2021,,770.0,0.0,0.0
7029,7029,F36445,5926,E,2.0,52:31.5,19/10/2021,18/10/2021 00:00,19/10/2021,,305.25,0.0,0.0
7030,7030,F36446,5939,E,2.0,59:16.4,19/10/2021,19/10/2021 00:00,19/10/2021,,604.5,0.0,0.0
7031,7031,F36447,2044,E,2.0,20:42.4,19/10/2021,19/10/2021 00:00,19/10/2021,,3407.5008,0.0,0.0
7032,7032,F36448,2900,E,2.0,46:10.1,19/10/2021,19/10/2021 00:00,19/10/2021,,1370.0,0.0,0.0
7033,7033,F36449,8475,E,2.0,01:00.1,19/10/2021,19/10/2021 00:00,19/10/2021,,2400.0,0.0,0.0
7034,7034,F36450,6381,E,2.0,10:16.7,19/10/2021,19/10/2021 00:00,19/10/2021,,1636.0,0.0,0.0
7035,7035,F36451,8466,E,2.0,21:59.4,19/10/2021,19/10/2021 00:00,19/10/2021,,1023.29,0.0,0.0
7036,7036,F36452,4480,E,2.0,47:43.7,19/10/2021,19/10/2021 00:00,03/11/2021,,9507.75,0.0,0.0
7037,7037,F36453,8437,E,2.0,34:17.1,19/10/2021,19/10/2021 00:00,19/10/2021,,267.25,0.0,0.0
7038,7038,F36454,5926,E,2.0,04:17.4,19/10/2021,19/10/2021 00:00,19/10/2021,,232.5274,0.0,0.0
7039,7039,F36455,161,E,1.0,26:23.6,20/10/2021,20/10/2021 00:00,19/11/2021,,1230.0,0.0,0.0
7040,7040,F36456,9,E,1.0,32:32.3,20/10/2021,22/10/2021 00:00,19/11/2021,,9108.0,0.0,0.0
7041,7041,F36457,3686,E,2.0,07:54.2,20/10/2021,18/10/2021 00:00,04/11/2021,,1215.5,0.0,0.0
7042,7042,F36458,3666,E,2.0,17:55.2,20/10/2021,13/10/2021 00:00,20/10/2021,,1736.4375,0.0,0.0
7043,7043,F36459,8419,E,2.0,10:40.1,20/10/2021,20/10/2021 00:00,20/10/2021,,1312.5,0.0,0.0
