neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,host_is_superhost,host_identity_verified,host_response_time,host_since,id,host_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
"Valencia, Spain",MORVEDRE,LA SAIDIA,Entire rental unit,Entire home/apt,1 bath,"[""Kitchen"", ""Dishes and silverware"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Shampoo"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Essentials"", ""Coffee maker"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""TV"", ""Wifi"", ""Microwave"", ""Host greets you""]",t,20/06/2025,12/10/2010,04/06/2025,VT-41540-V,f,f,t,within a few hours,01/09/2010,48154.0,219476,39.48375,-0.37502,4.0,1.0,2.0,2.0,83.0,3.0,25.0,3.0,6.0,10,25,3.8,19.5,21,39,56,146,23.3,27.0,3.0,1.05,4.61,4.67,4.63,4.85,4.8,4.51,4.51,4.0,4.0,0.0,0.0
Desconocido,EL SALER,POBLATS DEL SUD,Entire rental unit,Entire home/apt,1.5 baths,"[""Kitchen"", ""TV"", ""Wifi"", ""Indoor fireplace"", ""Dryer"", ""Pets allowed"", ""Smoking allowed"", ""Elevator"", ""Free parking on premises"", ""Washer"", ""Pool"", ""Heating""]",t,20/06/2025,02/07/2013,02/07/2013,VT32745V,f,f,t,within an hour,06/06/2011,137143.0,670775,39.5,-0.31932,7.0,1.0,1.0,2.1,101.4,10.0,170.0,1.9,10.0,170,170,10.0,170.0,0,0,3,30,1.0,0.0,0.0,0.01,4.7,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0
"Valencia, Valencian Community, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire home,Entire home/apt,4 baths,"[""Bathtub"", ""Ceiling fan"", ""Bidet"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Outdoor shower"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Outdoor furniture"", ""Window guards"", ""Shared beach access"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Mini fridge"", ""Dishwasher"", ""Toaster"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Stainless steel gas stove"", ""Coffee"", ""Private entrance"", ""Board games"", ""Paid street parking off premises"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Housekeeping - available at extra cost"", ""32 inch HDTV with Amazon Prime Video, Disney+, Netflix"", ""Books and reading material"", ""Essentials"", ""Extra pillows and blankets"", ""AC - split type ductless system"", ""Central heating"", ""High chair"", ""Blender"", ""Iron"", ""Private patio or balcony"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""Baby bath"", ""Wifi"", ""Clothing storage"", ""Private outdoor kitchen"", ""City skyline view"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Coffee maker: drip coffee maker, espresso machine"", ""Host greets you"", ""Drying rack for clothing"", ""Hot water kettle""]",t,20/06/2025,23/07/2011,16/06/2025,ESFCTU000046025000580569000000000000000000VT-36469-V8,f,f,t,within an hour,03/01/2009,149715.0,5947,39.46746,-0.32813,3.3,1.0,1.4,2.1,101.4,2.0,90.0,2.0,3.0,1125,1125,2.1,1125.0,10,16,30,277,23.3,40.0,5.0,1.77,4.67,4.71,4.57,4.85,4.89,4.62,4.62,1.0,1.0,0.0,0.0
"Valencia, Valencian Community, Spain",LA ROQUETA,EXTRAMURS,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Kitchen"", ""Single level home"", ""Dishes and silverware"", ""Oven"", ""Hot water"", ""Beach essentials"", ""Washer"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Mini fridge"", ""Stove"", ""Shampoo"", ""Paid parking off premises"", ""Lockbox"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Pets allowed"", ""Clothing storage: closet"", ""Essentials"", ""Conditioner"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Iron"", ""Air conditioning"", ""Free street parking"", ""Hammock"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Microwave"", ""Portable fans""]",t,20/06/2025,23/07/2011,04/06/2025,VT-32757-V,t,t,t,within an hour,07/07/2011,165971.0,791187,39.4679,-0.38206,4.0,1.0,1.0,1.0,109.0,5.0,10.0,1.0,5.0,1125,1125,4.9,1125.0,7,12,25,29,23.3,44.0,2.0,3.32,4.87,4.91,4.88,4.89,4.88,4.84,4.85,7.0,7.0,0.0,0.0
Desconocido,AIORA,CAMINS AL GRAU,Entire rental unit,Entire home/apt,1 bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Bed linens"", ""Babysitter recommendations"", ""Hangers"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Heating"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Patio or balcony"", ""Board games"", ""Bikes"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Crib"", ""Self check-in"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Pets allowed"", ""Smart lock"", ""Cleaning available during stay"", ""Essentials"", ""Conditioner"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""High chair"", ""Iron"", ""Free parking on premises"", ""Air conditioning"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Clothing storage"", ""Smoking allowed"", ""City skyline view"", ""Microwave"", ""First aid kit"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,04/08/2015,17/03/2025,VT-38755-V,f,f,t,within a day,20/10/2011,182221.0,1315567,39.46343,-0.34325,5.0,1.0,2.0,5.0,101.4,3.0,50.0,3.0,7.0,50,50,4.2,50.0,29,59,89,360,9.0,1.0,0.0,0.07,4.56,4.44,4.44,4.67,4.67,4.33,4.44,1.0,1.0,0.0,0.0
"Valencia, Valencian Community, Spain",EL CARME,CIUTAT VELLA,Entire rental unit,Entire home/apt,2 baths,"[""Bathtub"", ""Exterior security cameras on property"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Washer"", ""Heating"", ""Children\u2019s books and toys"", ""Hangers"", ""Hair dryer"", ""Fire extinguisher"", ""Dishwasher"", ""Stove"", ""43 inch TV with standard cable"", ""Shampoo"", ""Paid parking off premises"", ""Pack \u2019n play/Travel crib"", ""Crib"", ""Room-darkening shades"", ""Cooking basics"", ""Pets allowed"", ""Essentials"", ""Coffee maker"", ""Elevator"", ""Private patio or balcony"", ""High chair"", ""Iron"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Central air conditioning"", ""Children\u2019s dinnerware"", ""Microwave"", ""Baby safety gates"", ""Host greets you""]",t,20/06/2025,14/01/2013,09/06/2025,Sin licencia,f,t,t,within a few hours,07/08/2011,192674.0,933504,39.48002,-0.38021,5.0,1.0,2.0,4.0,119.0,10.0,365.0,1.9,10.0,365,365,10.0,365.0,7,13,20,78,23.3,27.0,4.0,1.22,4.84,4.9,4.82,4.98,4.98,4.91,4.77,4.0,4.0,0.0,0.0
Desconocido,CABANYAL-CANYAMELAR,POBLATS MARITIMS,Private room in rental unit,Private room,1 shared bath,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Outdoor furniture"", ""Oven"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Stove"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Cleaning available during stay"", ""Books and reading material"", ""Essentials"", ""Paid washer \u2013 In building"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Blender"", ""Iron"", ""Smoke alarm"", ""Beach access \u2013 Beachfront"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,24/10/2011,11/06/2025,Sin licencia,f,t,t,within an hour,07/08/2011,193326.0,937597,39.473,-0.32897,2.0,1.0,1.0,2.0,51.0,11.0,330.0,1.0,11.0,330,330,10.1,330.0,22,49,79,227,23.3,10.1,3.0,2.24,4.88,4.9,4.92,4.9,4.95,4.78,4.79,3.0,1.0,2.0,0.0
Desconocido,CABANYAL-CANYAMELAR,POBLATS MARITIMS,Private room in rental unit,Private room,1 shared bath,"[""Cleaning products"", ""Kitchen"", ""Bidet"", ""Wine glasses"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Shared beach access"", ""Hot water"", ""Refrigerator"", ""Beach essentials"", ""Bed linens"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Stove"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Laundromat nearby"", ""Body soap"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Cleaning available during stay"", ""Books and reading material"", ""Essentials"", ""Paid washer \u2013 In building"", ""Dining table"", ""Coffee maker"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Blender"", ""Iron"", ""Smoke alarm"", ""Free street parking"", ""Shower gel"", ""TV"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Lock on bedroom door"", ""Clothing storage"", ""Microwave"", ""Waterfront"", ""First aid kit"", ""Host greets you"", ""Drying rack for clothing"", ""Portable fans""]",t,20/06/2025,07/12/2011,09/06/2025,Sin licencia,f,t,t,within an hour,07/08/2011,225070.0,937597,39.47152,-0.33123,1.0,1.0,1.0,3.0,50.0,11.0,330.0,2.0,11.0,330,330,10.4,330.0,25,43,56,208,23.3,40.0,2.0,1.6,4.85,4.87,4.93,4.9,4.95,4.77,4.8,3.0,1.0,2.0,0.0
"Valencia, Spain",CABANYAL-CANYAMELAR,POBLATS MARITIMS,Entire rental unit,Entire home/apt,2 baths,"[""Cleaning products"", ""Garden view"", ""Kitchen"", ""Outdoor dining area"", ""Dishes and silverware"", ""Outdoor furniture"", ""Dedicated workspace"", ""Private backyard \u2013 Fully fenced"", ""Harbor view"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""BBQ grill"", ""Heating"", ""Hangers"", ""Hair dryer"", ""Dishwasher"", ""Paid parking garage off premises"", ""55 inch HDTV with Chromecast"", ""Fast wifi \u2013 71 Mbps"", ""Private entrance"", ""Laundromat nearby"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Essentials"", ""Coffee maker"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""AC - split type ductless system"", ""Private patio or balcony"", ""Elevator"", ""Iron"", ""Sea view"", ""Free street parking"", ""Beach view"", ""Shared beach access \u2013 Beachfront"", ""Clothing storage"", ""City skyline view"", ""Ocean view"", ""Microwave"", ""Waterfront""]",t,20/06/2025,21/03/2012,02/12/2024,VT 33846 V,f,f,t,within an hour,25/10/2011,253764.0,1332880,39.466515,-0.325345,5.0,1.0,2.0,4.0,101.4,3.0,242.2,3.0,5.0,4,1125,3.5,827.0,7,16,22,28,69.0,11.0,0.0,0.43,4.49,4.5,4.46,4.76,4.79,4.79,4.35,2.0,2.0,0.0,0.0
"Valencia, Spain",EXPOSICIO,EL PLA DEL REAL,Private room in rental unit,Private room,1 private bath,"[""Cleaning products"", ""Ceiling fan"", ""Kitchen"", ""Wine glasses"", ""Single level home"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Natural Honey body soap"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Ethernet connection"", ""Hangers"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Dishwasher"", ""Toaster"", ""Shampoo"", ""Coffee"", ""Paid parking off premises"", ""Lockbox"", ""Laundromat nearby"", ""Self check-in"", ""Room-darkening shades"", ""Cooking basics"", ""Freezer"", ""Baking sheet"", ""Clothing storage: closet"", ""Books and reading material"", ""Essentials"", ""Dining table"", ""Coffee maker"", ""Extra pillows and blankets"", ""Elevator"", ""Blender"", ""Iron"", ""Radiant heating"", ""Indesit  induction stove"", ""Exercise equipment: yoga mat"", ""Free street parking"", ""21 inch HDTV with DVD player"", ""Shower gel"", ""Wifi"", ""Long term stays allowed"", ""Mosquito net"", ""Lock on bedroom door"", ""Microwave"", ""First aid kit"", ""Drying rack for clothing""]",t,20/06/2025,29/04/2013,04/01/2025,Sin licencia,f,t,t,within a few hours,08/06/2010,260929.0,140702,39.47507,-0.36296,2.0,1.0,1.0,1.0,51.0,2.0,60.0,2.0,2.0,60,60,2.0,60.0,7,19,44,44,23.3,27.0,0.0,1.06,4.73,4.83,4.62,4.87,4.87,4.85,4.68,3.0,0.0,0.3,0.0
